65.0402	5.063e0
77.0412	5.063e0
79.0599	7.089e0
81.0746	1.311e1
91.0551	1.140e1
93.0763	5.063e0
95.0536	4.051e0
103.0607	5.615e0
107.0508	8.101e0
109.0692	2.835e1
115.0587	9.114e0
117.0726	4.593e0
121.0308	1.418e1
123.0820	6.076e0
129.0762	5.063e0
135.0469	1.013e1
135.0866	4.051e0
137.0234	5.307e0
145.0691	1.722e1
147.0546	5.482e0
148.0546	8.101e0
149.0239	4.888e1
151.0780	5.063e0
159.0445	8.101e0
165.0213	2.532e1
171.0503	6.891e0
173.0639	1.013e1
175.0428	4.051e0
176.0523	2.329e1
177.0207	1.155e2
177.0552	6.024e1
179.0355	1.013e1
191.0715	9.114e0
201.0571	3.544e1
204.0444	1.418e1
219.0657	8.627e2
297.1133	2.228e1
324.1022	4.051e0
339.1236	8.023e2
