109.0295	3.038e0
123.0433	3.139e1
127.0388	6.462e1
135.0474	1.114e1
139.0388	6.120e1
140.3556	3.038e0
147.0185	3.038e0
151.0410	1.418e1
163.0399	2.025e1
165.0614	8.101e0
169.0479	5.063e0
201.0571	4.051e0
233.0569	4.051e0
247.0617	2.430e1
259.0604	2.228e1
261.0858	6.076e0
269.0549	3.038e0
271.0821	2.633e1
272.3311	2.025e0
273.0673	2.025e0
275.0557	2.430e1
276.1248	1.013e0
283.0773	6.076e0
287.0638	1.114e1
288.1607	2.025e0
289.0690	9.520e1
290.1050	2.025e0
291.0859	1.249e2
292.4697	6.076e0
301.0734	2.633e1
303.0605	9.114e0
315.0932	4.051e0
333.1063	5.063e0
409.0988	5.165e1
410.2481	3.038e0
411.2116	5.063e0
421.1005	4.051e0
427.1072	7.426e1
428.2417	4.051e0
435.1036	4.051e0
439.0946	3.038e0
453.1226	9.114e0
561.0888	6.076e0
579.1503	1.124e2
